Category,Name,Image URL,Day ($),Week ($),Month ($),Notes
Concrete Equipment,"Rotary Hammer Drill up to 5""",https://firststoprentals.com/wp-content/uploads/2021/02/rhamsp.jpg,68.0,272.0,816.0,Extension cord provided.
Concrete Equipment,"Rotary Hammer Drill Up to 5""",https://firststoprentals.com/wp-content/uploads/2023/05/Screen-Shot-2023-05-11-at-1.29.09-PM.png,68.0,272.0,816.0,Battery powered.
Concrete Equipment,"Carbide Bits 1/2"" to 2 1/2"" dia",https://firststoprentals.com/wp-content/uploads/2017/05/drillbits.jpg,25.0,100.0,300.0,(Per inch in diameter)
Concrete Equipment,"Carbide Core Bits 2"" - 5"" dia",https://firststoprentals.com/wp-content/uploads/2017/05/corebitc.jpg,285.0,1140.0,3420.0,(Per inch)
Fastening,Finishing Nailer,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,25.0,100.0,300.0,(Camera shy)
Fastening,Framing Nailer,https://firststoprentals.com/wp-content/uploads/2017/05/nailfr.jpg,33.0,132.0,396.0,
Fastening,Hardwood Floor Nailer,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,200.0,800.0,2400.0,For exotic woods. | (Camera shy)
Fastening,Hardwood Floor Stapler Air,https://firststoprentals.com/wp-content/uploads/2017/05/stahd.jpg,30.0,120.0,360.0,
Fastening,Roofing Nailer,https://firststoprentals.com/wp-content/uploads/2017/05/nailro.jpg,33.0,132.0,396.0,
Fastening,Shingle Shovel,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,14.0,56.0,168.0,(Camera shy)
Fastening,Subfloor Stapler Manual,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,27.0,108.0,324.0,(Camera shy)
Fastening,Sub Floor Stapler Air,https://firststoprentals.com/wp-content/uploads/2017/05/stasfa.gif,27.0,108.0,324.0,
Fastening,Sub Floor Screw Gun,https://firststoprentals.com/wp-content/uploads/2017/05/sfscrewgun.jpg,42.0,168.0,504.0,Extension cord provided.
Flooring,Air Cooler,https://firststoprentals.com/wp-content/uploads/2023/05/Copy-of-IMG_7706-scaled.jpg,60.0,240.0,720.0,(Camera shy)
Flooring,Carpet Seam Iron,https://firststoprentals.com/wp-content/uploads/2017/05/carseam.jpg,25.0,100.0,300.0,
Flooring,Air Scrubber,https://firststoprentals.com/wp-content/uploads/2023/05/Screen-Shot-2023-05-11-at-1.36.07-PM.png,60.0,240.0,720.0,
Flooring,Carpet Stretcher,https://firststoprentals.com/wp-content/uploads/2017/05/carstr.jpg,20.0,80.0,240.0,
Flooring,Carpet Cleaner,https://firststoprentals.com/wp-content/uploads/2017/05/carclnr.jpg,40.0,160.0,480.0,Shampoo $13.25/bottle | Upholstrey extra
Flooring,Ceramic Tile Cutter,https://firststoprentals.com/wp-content/uploads/2017/05/cercutl.jpg,26.0,104.0,312.0,Small | Large
Flooring,Ceramic Tile Saw Wet,https://firststoprentals.com/wp-content/uploads/2017/05/cersawsk.jpg,100.0,400.0,1200.0,Small
Flooring,Ceramic Tile Saw Wet Large,https://firststoprentals.com/wp-content/uploads/2021/01/tilesawlg-scaled.jpg,100.0,400.0,1200.0,"24"" Tile Saw | 48"" Tile Saw | 100/Day"
Flooring,Dehumidifier,https://firststoprentals.com/wp-content/uploads/2021/01/dehum.jpg,40.0,160.0,480.0,
Flooring,Dehumidifier XL,https://firststoprentals.com/wp-content/uploads/2017/05/dehumlg.jpg,50.0,200.0,600.0,
Flooring,"Barrel Fan 24""",https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,45.0,180.0,540.0,(Camera shy)
Flooring,Carpet Fan,https://firststoprentals.com/wp-content/uploads/2017/05/fancar.jpg,28.0,112.0,336.0,
Flooring,Drum Fan,https://firststoprentals.com/wp-content/uploads/2017/05/fan42in.jpg,35.0,140.0,420.0,"36"" Diameter | 48"" Diameter | Extension cord provided."
Flooring,Pedestal Fan,https://firststoprentals.com/wp-content/uploads/2017/05/fanped.jpg,25.0,100.0,300.0,Extension cord provided.
Flooring,Regular Fan,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,20.0,80.0,240.0,(Photo coming soon)
Flooring,"12"" Ventilation Fan",https://firststoprentals.com/wp-content/uploads/2017/05/fanbl12.jpg,44.0,176.0,528.0,
Flooring,"Floor Edger 7""",https://firststoprentals.com/wp-content/uploads/2017/05/edger.jpg,48.0,192.0,576.0,Discs extra.
Flooring,"Floor Maintainer 17""",https://firststoprentals.com/wp-content/uploads/2017/05/fm17.jpg,50.0,200.0,600.0,Polishing pads & sandpaper extra.
Flooring,Floor Sander Drum,https://firststoprentals.com/wp-content/uploads/2017/05/drumsand.jpg,68.0,272.0,816.0,Sandpaper extra.
Flooring,Floor Sander Orbitech,https://firststoprentals.com/wp-content/uploads/2017/05/orbit.jpg,56.0,224.0,672.0,"12"" x 18"" | Sandpaper, screens and pads extra."
Flooring,Floor Sander Orbitech,https://firststoprentals.com/wp-content/uploads/2017/05/orbitvac.jpg,56.0,224.0,672.0,"12"" x 18"" with Vacuum | Sandpaper, screens and pads extra."
Flooring,"Laminate Cutter 8""",https://firststoprentals.com/wp-content/uploads/2023/05/IMG_4249.jpg,17.0,68.0,204.0,
Flooring,Tile Roller,https://firststoprentals.com/wp-content/uploads/2017/05/tileroll.jpg,25.0,100.0,300.0,100 lb.
Flooring,Tile Remover,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,15.0,60.0,180.0,Manual | (Camera shy)
Flooring,Tile Stripper Linoleum,https://firststoprentals.com/wp-content/uploads/2017/05/tilestrip.jpg,26.0,104.0,312.0,Extension cord provided.
Flooring,Tile Stripper Ceramic,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,26.0,104.0,312.0,Extension cord provided. | (Camera shy)
Flooring,Upholstrey Attachment,https://firststoprentals.com/wp-content/uploads/2017/05/upatt.png,7.0,28.0,84.0,For carpet cleaner.
Flooring,Vacuum (Industrial),https://firststoprentals.com/wp-content/uploads/2017/05/vacind.jpg,60.0,240.0,720.0,
Generators/Welders,Generator 1900W,https://firststoprentals.com/wp-content/uploads/2017/05/gen1900w.jpg,55.0,220.0,660.0,
Generators/Welders,Generator 2800W,https://firststoprentals.com/wp-content/uploads/2017/05/gen2800w.jpg,60.0,240.0,720.0,
Generators/Welders,Generator 3000W,https://firststoprentals.com/wp-content/uploads/2017/05/gen3000w.jpg,70.0,280.0,840.0,
Generators/Welders,Generator 5500W,https://firststoprentals.com/wp-content/uploads/2017/05/gen5000w.jpg,55.0,220.0,660.0,
Generators/Welders,Generator 6500W,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,55.0,220.0,660.0,Gas Powered | Diesel Powered | (Camera shy)
Generators/Welders,Inverter Generator 2000W,https://firststoprentals.com/wp-content/uploads/2023/05/Screen-Shot-2023-05-11-at-7.26.45-PM.png,62.0,248.0,744.0,Gas Powered
Generators/Welders,Inverter Generator 3500W,https://firststoprentals.com/wp-content/uploads/2023/05/Screen-Shot-2023-05-11-at-7.27.17-PM.png,72.0,288.0,864.0,
Generators/Welders,Generator 9000W,https://firststoprentals.com/wp-content/uploads/2021/01/gen9000w.jpg,100.0,400.0,1200.0,
Generators/Welders,Generator Plugs,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,55.0,220.0,660.0,20 amp or 30 amp | (Camera shy)
Heaters,Heater 1500W Baseboard,https://firststoprentals.com/wp-content/uploads/2017/05/htr1500w.jpg,60.0,240.0,720.0,
Heaters,Heater 4800W Electric,https://firststoprentals.com/wp-content/uploads/2017/05/htr4800.jpg,44.0,176.0,528.0,(220 volt)
Heaters,Emergency Heater,https://firststoprentals.com/wp-content/uploads/2017/05/htr10000watt.jpg,54.0,216.0,648.0,"10,000 watt"
Heaters,Diesel Indirect Fired,https://firststoprentals.com/wp-content/uploads/2021/02/indfircampo.jpg,100.0,400.0,1200.0,"230,000 BTU"
Heaters,Kerosene Heater,https://firststoprentals.com/wp-content/uploads/2017/05/htrkero.jpg,34.0,136.0,408.0,"70,000 BTU"
Heaters,Propane Heater,https://firststoprentals.com/wp-content/uploads/2021/02/salamanderhtr.jpg,24.0,96.0,288.0,"Salamander70,000 BTU | *Must have COT to rent*"
Heaters,Propane Heater,https://firststoprentals.com/wp-content/uploads/2021/02/htrpr120btu.jpg,24.0,96.0,288.0,"120,000 BTU | *Must have COT to rent*"
Heaters,Propane Heater,https://firststoprentals.com/wp-content/uploads/2021/02/htrpr120btu.jpg,24.0,96.0,288.0,"200,000 BTU | *Must have COT to rent*"
Heaters,Propane Heater Radiant,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,24.0,96.0,288.0,BBQ Style | *Must have COT to rent* | (Camera shy)
Lawn & Garden,Brush Cutter,https://firststoprentals.com/wp-content/uploads/2017/05/brucut.jpg,70.0,280.0,840.0,Metal blades provided.$35 to replace blade if damaged.
Lawn & Garden,Bush Hog,https://firststoprentals.com/wp-content/uploads/2021/01/bushhog.jpg,95.0,380.0,1140.0,"Billy Goat | Cuts up to 3/4"" saplings"
Lawn & Garden,Com-A-Long,https://firststoprentals.com/wp-content/uploads/2020/07/106098159_1620016738173554_713309936695896525_o.jpg,18.0,72.0,216.0,(Camera shy)
Lawn & Garden,Fence Stretcher,https://firststoprentals.com/wp-content/uploads/2017/05/fencestr.jpg,23.0,92.0,276.0,
